CNTSTUID,ST001D01T,AGE,ST004D01T,IMMIG,ST082Q01NA,ST082Q02NA,ST082Q03NA,ST082Q08NA,ST082Q09NA,ST082Q12NA,ST082Q13NA,ST082Q14NA,ST034Q02TA,ST034Q05TA
12408669,10,15.92,2,1,1,1,2,3,2,1,1,1,2,2
12422914,10,16.17,2,999,999,999,999,999,999,999,999,999,999,999
12406300,10,15.83,2,1,4,3,3,3,4,4,4,4,1,1
12426528,10,16.33,2,1,1,3,2,3,2,3,1,1,3,2
12427179,10,16,2,1,2,3,3,3,2,3,3,2,3,2
12414020,9,15.42,1,1,2,3,3,3,3,3,2,2,2,2
12417658,10,15.75,1,3,3,4,3,3,3,3,4,3,2,1
12423460,10,16.08,1,1,3,3,3,3,3,4,3,3,2,999
12408452,10,15.83,1,2,2,3,2,2,3,3,2,3,2,2
12425283,10,15.58,1,1,4,4,4,3,4,4,4,4,2,1
12417548,10,15.58,1,3,3,4,3,3,4,4,4,4,2,2
12409035,10,15.75,1,3,2,3,4,3,3,3,2,3,2,2
12411101,10,15.58,1,2,2,3,3,2,2,4,3,3,3,2
12409787,10,15.67,1,2,2,3,3,3,3,2,3,3,3,2
12406370,10,16,1,1,2,3,3,3,2,3,2,3,3,2
12402032,10,15.83,1,1,3,4,4,4,4,4,2,4,1,1
12405071,10,15.5,1,1,2,3,3,4,2,4,1,3,2,2
12416710,10,15.75,1,1,3,3,4,4,4,3,4,4,1,1
12430512,10,15.83,1,1,3,4,4,4,3,3,2,4,4,2
12413877,10,15.92,1,1,2,3,3,3,3,3,2,3,3,2
12413794,10,15.58,1,1,3,3,3,2,3,2,3,3,2,2
12409558,10,16,1,1,3,4,4,4,3,3,3,3,3,3
12423093,10,15.83,1,1,2,3,3,3,3,3,3,3,2,2
12421909,10,15.83,1,1,3,3,4,4,3,3,2,4,2,2
12419366,10,15.92,2,3,3,3,4,4,4,4,3,3,3,2
12425723,10,15.67,2,1,4,4,3,3,3,3,2,4,2,2
12422440,10,15.5,2,1,3,3,3,3,3,3,3,3,1,1
12403558,10,16.33,2,1,1,3,2,3,2,4,3,2,1,1
12404009,10,16.08,2,1,4,3,4,4,3,2,3,4,2,2
12424809,10,15.42,2,1,3,3,3,3,3,3,3,3,2,2
12416925,10,16.33,2,1,3,3,3,3,2,3,2,3,2,2
12411453,10,15.67,2,3,3,3,3,3,3,4,3,3,2,2
12425000,10,16.33,2,1,3,3,3,3,3,3,3,3,2,2
12408035,10,15.5,2,1,3,4,4,4,3,3,3,3,2,1
12424262,10,16.08,2,1,4,3,3,3,4,3,3,4,2,2
12421737,11,16.25,2,2,4,4,4,4,3,4,3,4,2,2
12407888,11,16.33,2,2,3,4,4,3,3,3,3,4,2,2
12419284,10,15.42,1,1,2,3,2,2,2,3,2,2,3,2
12417022,10,15.75,1,1,3,3,2,2,2,2,2,2,3,3
12423158,10,15.42,1,1,2,3,3,3,3,3,2,3,2,2
12419944,10,16,1,1,4,4,3,4,4,4,4,4,2,2
12420383,10,15.58,1,1,2,4,3,3,2,3,2,3,2,2
12419914,10,15.58,1,1,4,4,4,4,4,4,4,4,1,1
12424078,10,16.25,1,1,3,3,4,3,2,4,3,3,2,2
12430209,10,15.83,1,1,2,2,3,3,2,3,2,3,2,2
12410375,10,15.75,1,1,4,2,3,2,3,3,3,2,2,1
12424179,10,16.17,1,1,2,2,3,3,3,3,2,3,2,4
12402290,10,15.42,1,1,3,3,3,3,3,3,3,3,2,2
12412769,10,16.08,1,1,4,2,2,3,4,4,4,4,1,1
12423312,10,15.67,1,1,2,3,3,3,2,4,2,3,3,3
12428533,10,16.33,1,1,3,3,3,3,3,3,3,3,2,2
12410610,10,15.5,1,1,3,3,3,3,1,4,3,4,2,2
12421885,10,15.67,2,1,4,3,2,3,3,3,3,3,2,2
12417901,10,15.75,2,1,4,3,3,3,3,3,2,3,2,2
12411034,10,16,2,1,3,2,3,3,3,3,3,3,2,2
12424901,10,16.08,2,1,4,4,4,2,4,4,4,4,1,1
12424729,10,16.17,2,1,3,3,3,3,3,3,2,3,3,2
12415327,10,16.25,2,999,999,999,999,999,999,999,999,999,999,999
12428605,10,16.08,2,1,3,4,4,4,3,3,3,4,4,4
12410839,10,15.83,2,2,3,4,4,4,3,4,4,4,1,1
12416666,10,16.25,2,1,3,2,3,3,3,2,2,3,2,2
12429741,10,16.08,2,1,4,2,3,3,4,3,4,4,2,2
12413557,10,16.08,2,1,4,3,3,3,4,3,4,4,2,2
12417934,10,16.25,2,1,3,3,3,3,3,3,3,3,2,2
12413750,11,16,1,1,3,3,3,3,3,3,3,3,2,2
12407896,11,16.25,2,1,1,3,3,3,2,3,2,3,2,2
12411846,10,15.83,1,1,3,3,3,3,3,3,3,3,2,2
12410674,10,15.67,1,1,3,3,3,3,3,3,3,3,4,4
12401117,10,16.17,1,1,4,4,4,4,4,4,4,4,1,1
12429932,10,15.67,1,1,1,3,3,2,2,2,1,2,4,3
12408350,10,16.33,1,1,4,3,3,3,3,3,3,3,3,2
12419352,10,15.75,1,1,2,3,3,3,3,3,2,2,2,2
12400066,10,15.92,1,1,2,4,3,3,2,3,3,3,2,2
12415520,10,15.92,1,1,3,3,3,3,3,3,3,3,2,2
12400320,10,16.17,2,1,3,4,4,4,4,4,2,4,1,1
12418435,10,16.25,2,1,3,2,3,3,3,3,2,3,3,4
12419373,10,15.83,2,1,2,4,4,4,4,4,4,4,4,4
12411719,10,16.08,2,1,2,4,2,3,2,3,2,3,1,1
12418197,10,15.75,2,1,4,4,3,3,3,4,3,3,1,1
12416463,10,16.17,2,1,3,4,3,3,3,3,3,3,1,2
12418939,10,16.33,2,1,2,3,3,3,3,3,2,3,2,1
12429247,11,16.25,1,1,1,3,3,3,1,2,1,3,4,4
12426026,11,16.33,2,1,2,3,3,3,3,3,3,3,2,2
12414314,11,16.33,2,1,2,3,2,2,2,2,2,2,2,3
12424251,11,16.33,2,1,3,2,3,3,4,3,3,3,3,2
12408698,9,15.42,2,3,1,3,4,3,3,3,3,3,3,2
12417733,10,16.08,1,1,3,3,4,3,3,3,4,4,1,1
12418351,10,16.17,1,1,3,4,4,4,3,4,3,4,1,1
12415340,10,16.25,1,1,2,3,3,4,2,4,3,4,2,1
12424536,10,16.33,1,1,4,4,4,4,3,3,3,4,1,1
12411190,10,16.25,1,1,2,3,3,3,3,999,2,3,3,2
12405952,10,16,1,1,2,3,3,3,2,3,2,3,3,2
12412564,10,15.67,2,1,3,3,3,3,2,3,3,3,1,2
12424324,10,16,2,1,4,2,3,3,3,2,3,3,2,2
12407034,10,15.92,2,1,3,3,3,3,3,3,3,4,2,2
12409174,9,15.33,1,2,3,3,4,3,3,3,4,4,1,1
12407760,9,15.42,1,1,3,3,3,3,3,4,3,3,2,2
12425169,9,15.33,1,1,2,3,3,3,3,3,3,3,3,3
12408372,9,15.33,1,1,3,4,3,3,4,3,4,4,2,2
12423432,9,15.42,1,3,4,4,3,3,3,3,3,3,2,2
12416493,9,16,1,1,2,3,3,3,3,3,2,3,3,2
12409847,9,15.58,1,1,1,3,3,3,2,3,2,3,3,3
12417766,9,15.33,2,1,3,2,3,3,3,3,3,3,2,2
12413903,9,15.42,2,1,3,3,3,3,3,3,3,3,2,2
12420090,9,15.33,2,1,2,3,3,3,2,3,2,2,3,2
12426669,9,15.33,2,1,1,3,4,3,3,3,2,4,3,3
12428140,9,15.33,2,1,3,4,3,3,3,3,3,3,4,4
12400331,9,15.58,2,1,3,2,3,3,2,3,3,4,2,1
12425865,9,15.5,2,3,2,3,3,3,3,3,2,3,2,2
12400007,10,15.5,1,1,2,3,4,4,3,3,4,4,3,2
12424903,10,15.67,1,1,2,3,3,3,3,3,3,3,2,2
12415365,10,15.58,1,3,2,3,3,3,3,3,3,3,2,2
12406135,10,15.75,1,1,3,3,3,3,3,3,3,3,2,2
12404992,10,15.42,1,1,2,3,3,3,2,3,2,3,3,2
12409320,10,15.83,1,1,3,3,1,2,3,3,3,3,2,2
12408232,10,15.33,1,1,1,3,3,3,1,3,1,3,3,2
12405058,10,15.75,1,1,3,4,3,3,2,3,2,3,2,2
12423841,10,16.08,1,999,3,2,2,3,3,3,3,3,3,2
12418264,10,15.75,2,1,2,3,3,3,2,3,3,3,2,2
12424085,10,15.67,2,1,4,4,4,4,4,4,4,4,2,2
12426939,10,16,2,2,1,3,3,3,1,3,1,2,2,2
12428850,10,16.17,2,3,3,3,3,3,3,3,3,3,3,3
12419336,10,15.58,2,3,3,3,3,3,3,3,3,3,2,2
12430789,10,15.33,2,1,3,3,3,2,2,3,2,3,2,2
12427790,10,15.83,2,1,3,3,3,3,3,3,3,4,2,1
12428152,10,15.83,2,1,4,3,3,3,4,4,4,4,1,1
12424838,10,15.42,2,1,4,4,4,4,4,4,4,4,2,2
12428217,10,15.92,2,1,3,2,3,3,3,3,3,3,3,2
12420178,9,15.58,1,3,3,3,3,3,3,3,3,3,2,2
12417231,9,16.17,2,1,2,3,3,3,2,3,3,1,2,2
12404792,9,15.67,2,1,3,3,4,3,4,3,4,3,2,2
12410915,9,15.67,1,1,2,4,4,4,3,4,3,4,3,2
12427202,9,15.67,1,3,4,3,3,3,4,3,4,4,2,2
12422844,9,15.92,2,1,2,3,3,2,2,3,3,2,2,1
12408110,9,16.17,2,1,3,4,3,3,3,3,2,2,1,1
12404196,10,16.08,1,1,3,3,3,3,2,3,2,3,1,1
12422918,10,15.58,1,1,1,3,1,3,2,3,1,1,2,2
12410165,10,15.58,1,1,3,3,3,3,4,3,4,3,2,999
12416911,10,16.25,1,1,3,3,4,3,3,4,2,3,1,1
12412328,10,15.83,1,1,3,3,2,2,2,2,3,3,2,2
12426841,10,15.75,1,1,1,3,3,3,3,3,1,1,2,2
12408449,10,15.42,1,1,2,2,3,3,1,3,1,2,2,2
12401591,10,15.92,1,1,4,3,2,3,3,3,3,3,2,2
12401620,10,16,1,1,2,4,3,3,2,3,2,3,2,2
12409834,10,16.08,1,1,2,3,2,3,2,3,2,2,2,2
12421668,10,15.75,1,1,3,3,3,3,3,3,3,3,2,2
12415506,10,16,1,1,1,3,4,4,2,4,3,3,1,2
12412941,10,16.08,1,1,3,3,3,3,3,2,2,3,2,2
12422358,10,15.92,1,3,3,3,3,3,3,3,3,3,2,2
12426834,10,15.75,2,1,2,4,3,2,4,3,4,3,2,2
12419594,10,16.08,2,1,3,3,3,3,2,3,3,3,3,2
12401624,10,16.08,2,1,3,3,3,3,3,3,3,3,2,2
12418980,10,15.42,2,3,3,3,2,2,4,2,1,3,2,2
12407310,10,16.33,2,1,3,4,2,2,3,3,3,3,1,1
12419552,10,16.17,2,1,4,999,4,4,4,4,4,4,1,1
12422176,10,15.75,2,1,3,4,3,1,2,3,2,3,2,3
12429956,10,15.92,2,3,3,3,3,3,2,3,3,3,3,2
12402227,10,15.5,2,1,4,2,3,3,3,3,3,3,2,2
12426814,10,16.17,2,1,3,3,3,3,4,3,4,4,2,3
12415205,10,16.33,2,1,3,3,3,3,2,3,3,3,1,4
12423659,10,15.5,2,1,3,3,3,4,3,3,3,4,1,1
12429673,10,16.33,2,1,3,3,3,3,3,3,3,3,2,2
12416815,10,16.08,2,1,3,2,3,3,3,3,2,3,1,2
12411577,10,16.08,2,1,3,3,3,3,3,3,3,3,2,2
12419526,10,16.17,1,1,2,4,3,3,3,3,3,2,2,2
12419027,10,15.67,2,1,3,4,4,4,4,4,4,4,1,1
12409070,10,16.08,1,1,2,3,3,3,3,3,2,2,2,2
12403136,10,15.58,1,1,3,3,3,3,3,4,2,2,3,3
12405277,10,15.75,1,3,3,3,3,3,3,3,3,3,2,2
12402660,10,15.83,1,3,2,3,3,2,2,4,3,3,1,1
12411013,10,15.58,1,1,4,4,4,4,4,3,4,4,1,2
12412804,10,15.75,2,1,4,2,4,3,4,3,4,4,2,2
12413611,10,15.75,2,1,1,3,3,3,3,3,1,1,4,4
12410464,9,15.5,1,3,4,3,3,3,3,2,2,2,2,2
12407276,9,15.5,2,1,3,3,3,3,2,3,2,3,2,2
12416073,9,15.33,1,1,3,4,3,4,2,3,1,3,2,2
12423878,9,15.33,1,1,3,3,3,3,4,4,2,3,2,2
12422868,9,15.42,2,1,3,3,4,3,2,4,3,3,2,2
12413008,10,15.58,1,1,3,3,3,3,3,3,3,3,2,2
12424264,10,15.92,1,3,4,4,4,4,4,4,4,4,1,1
12400457,10,16,1,1,3,3,3,3,3,3,3,3,3,2
12427857,10,15.67,1,1,4,3,3,3,4,3,4,4,2,2
12427051,10,15.92,1,2,2,4,4,3,3,4,2,3,3,2
12403479,10,15.83,1,2,2,3,3,3,3,3,2,2,3,2
12423299,10,15.67,1,2,2,3,4,4,2,3,2,4,2,2
12406220,10,15.67,1,1,3,2,4,4,4,4,4,4,1,1
12406886,10,16.08,1,3,3,4,4,4,3,4,2,3,1,2
12427566,10,15.33,1,2,3,4,4,4,4,4,4,4,1,1
12426878,10,16.25,1,1,3,3,3,3,3,3,3,3,2,2
12417045,10,16.08,1,1,3,4,4,4,3,3,3,3,1,1
12400761,10,15.33,1,1,3,3,3,3,4,4,4,4,2,1
12416954,10,15.67,1,3,3,3,3,3,4,3,3,3,1,1
12424688,10,15.33,1,1,4,4,4,4,4,4,4,4,2,2
12407199,10,15.33,2,2,3,4,2,4,3,4,3,4,1,2
12415465,10,15.75,2,1,4,4,4,4,4,4,4,4,1,1
12410541,10,16.25,2,1,3,3,3,3,3,3,3,3,2,2
12413801,10,15.83,2,1,2,3,3,3,3,3,2,2,3,2
12400594,10,16.08,2,3,4,4,4,4,4,4,4,4,1,2
12412622,10,15.83,2,1,4,4,4,3,4,3,3,4,1,2
12422968,10,16.17,2,1,3,3,3,3,3,3,2,3,2,2
12428872,10,16.17,2,1,3,4,2,3,2,4,3,3,1,1
12407364,10,15.33,2,1,2,4,3,3,2,4,3,3,2,2
12411906,10,15.83,2,3,3,3,4,4,4,3,3,4,2,2
12414149,10,15.67,2,1,4,3,4,4,4,4,4,4,4,4
12413371,10,15.33,2,999,2,4,4,4,3,4,2,4,1,2
12403206,11,16.17,1,3,2,3,4,3,2,3,1,3,1,1
12405705,11,16.25,2,1,2,3,3,3,3,3,3,2,2,2
12412299,10,16.08,1,3,3,3,3,2,3,3,3,3,2,2
12407215,10,15.75,1,3,4,4,3,4,3,4,4,4,2,2
12406204,10,15.75,1,3,3,3,3,3,3,3,2,3,2,2
12421672,10,15.67,1,1,3,3,3,3,3,3,3,3,2,2
12416572,10,15.42,1,2,3,3,3,3,3,3,3,3,2,2
12400561,10,15.58,1,2,4,4,4,4,4,4,4,4,1,1
12423827,10,15.42,1,1,3,3,3,3,3,3,3,3,2,2
12403986,10,15.67,1,2,3,3,4,4,3,4,4,3,2,2
12407655,10,15.58,1,1,2,3,3,3,2,3,3,3,3,2
12418686,10,15.5,1,1,2,3,3,4,4,4,3,4,2,3
12419378,10,15.33,1,1,3,3,3,3,3,3,3,3,2,2
12401916,10,16.17,1,3,4,3,3,3,3,3,3,3,2,3
12406747,10,15.58,1,2,2,4,3,3,2,4,2,3,1,2
12403196,10,15.83,1,3,3,3,2,2,2,2,2,4,1,1
12425215,10,16,1,2,4,4,3,3,4,4,4,4,2,1
12423753,10,15.42,1,2,3,3,3,3,3,3,3,3,2,2
12417367,10,15.75,2,3,4,4,4,4,4,4,4,4,2,2
12402716,10,15.58,2,3,2,3,3,4,3,3,3,3,2,1
12416222,10,16.17,2,2,2,3,3,3,4,4,2,4,4,3
12425280,10,15.58,2,1,3,3,4,4,3,4,4,3,1,1
12421996,10,15.92,2,3,3,2,2,3,3,3,3,4,1,2
